"filename", "language", "JSON", "Markdown", "JSON with Comments", "TypeScript", "JavaScript", "TypeScript JSX", "CSS", "HTML", "XML", "SCSS", "comment", "blank", "total"
"e:\Coding\tcg-database-base\tcg-database\src\pages\ArticleIndivPage\ArticleIndivPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 5, 23
"e:\Coding\tcg-database-base\tcg-database\src\pages\ArticlePage\ArticlePage.css", "CSS", 0, 0, 0, 0, 0, 0, 54, 0, 0, 0, 1, 9, 64
"e:\Coding\tcg-database-base\tcg-database\src\pages\ArticlePage\ArticlePage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 25, 0, 0, 0, 0, 0, 3, 28
"e:\Coding\tcg-database-base\tcg-database\src\pages\Articles\Article1.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\Articles\Article1.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 27, 0, 0, 0, 0, 0, 3, 30
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\AllCardsPage\AllCardsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\AllCardsPage\AllCardsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 10, 112
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\AltArtsPage\AltArtsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\AltArtsPage\AltArtsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 68, 0, 0, 0, 0, 3, 10, 81
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\ArcanesPage\ArcanesPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\ArcanesPage\ArcanesPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\ChampionsPage\ChampionsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\ChampionsPage\ChampionsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 103, 0, 0, 0, 0, 9, 10, 122
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\CruxsPage\CruxsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\CruxsPage\CruxsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\DomainsPage\DomainsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\DomainsPage\DomainsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\FiresPage\FiresPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\FiresPage\FiresPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\LuxemsPage\LuxemsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\LuxemsPage\LuxemsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\MaterialsPage\MaterialsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\MaterialsPage\MaterialsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\NullsPage\NullsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\NullsPage\NullsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\TerasPage\TerasPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\TerasPage\TerasPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\WatersPage\WatersPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\WatersPage\WatersPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 11, 113
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\WindsPage\WindsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Coding\tcg-database-base\tcg-database\src\pages\CardsPages\WindsPage\WindsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 102, 0, 0, 0, 0, 0, 10, 112
"e:\Coding\tcg-database-base\tcg-database\src\pages\ContentCreatorsPage\ContentCreatorsPage.css", "CSS", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 0, 5, 45
"e:\Coding\tcg-database-base\tcg-database\src\pages\ContentCreatorsPage\ContentCreatorsPage.tsx", "TypeScript JSX", 0, 0, 0, 0, 0, 52, 0, 0, 0, 0, 0, 2, 54
"e:\Coding\tcg-database-base\tcg-database\src\pages\FrontPage\FrontPage.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
